SuccesName,SuccesDescription,SucccesValuePoint
,,
Harcèlement moral,Obtenir tous les succès liés aux membres de l'Assemblée,20
Et ça fait bim bam boum,Passer un petit moment avec Boomeur au Zaap de Brâkmar,1
Décalage horaire,Se lever avant que Paqenw soit couché,10
La hateuse originelle,Effectuer une mission Expédition avec Naemis,10
Zone d'inconfort,"Jouer avec Thanatithas, mais sans Askael, ni Elfresh",10
L'inventeur,Obtenir un succès de la liste en compagnie de Uomuom,10
Petit ange parti trop tôt,"Être témoin de la mort d'Angelynk pendant une mission de guilde, sans influence extérieure",10
Ils sont trop nombreux,Participer à une mission de guilde avec au moins 2 Michel en même temps,10
Droit dans le mur,Vaincre le Comte Harebourg du premier coup malgré la présence d'Eox dans l'équipe,10
,,
Pokédex complet,Obtenir tous les succès liés aux membres du Conseil,25
Il court vite le coquin,Comptabiliser une moyenne de PM dépensés par tour supérieure à celle de Ludzu alors qu'il a équipé sa Rattrapry,20
C'est qui çui-là ?,Jouer avec Zonthem,20
Petite joueuse,Infliger plus de dégâts que Mynni lors d'un combat pendant une mission de type Régulation,20
Il est timide,"Parler avec Gale en vocal sur Discord plus de 15 minutes sans qu'il parte, se mute ou qu'il arrête totalement d'interagir",20
Il a peut-être trop mangé ?,Prendre l'initiative sur Askael dans un combat,20
Il fait un peu frais là non ?,Donner tort à Elfresh dans un post du forum stuffs,20
Quitte ou double,Participer à un combat ou Scorpia inflige 0 de dégâts,20
Plus là le bambou,Ruiner la Bambouseraie de Xullop,20
,,
Accro aux réseaux sociaux,Obtenir tous les succès liés aux réseaux sociaux,15
100% de présence,"Convaincre un joueur avec le rôle ""Pitié rejoignez discord"" de rejoindre le Discord, ou un joueur de s'inscrire à un event",5
Célébrité,Être mentionné dans le journal hebdomadaire (sauf passage Assemblée),25
First !,Être le premier à envoyer un message dans le fil d'un évènement sur Discord,5
Je sais ce que je veux,Voter dans les 5 minutes après que l'Assemblée soit convoquée,5
,,
Amasseur de guildatons,Obtenir tous les succès liés aux guildatons,20
Missionné,Obtenir 250 guildatons en une semaine,1
Onzième position du Kamasutra,"Obtenir 250 guildatons en une semaine, 5 fois",10
Il y a toujours un plus gros poisson,Nouveau : Obtenir 250 guildatons en effectuant seulement 2 missions et sa contribution,15
Speedrunner,Obtenir 250 guildatons dans les 24 premières heures après un reset hebdomadaire,15
Une fine équipe,Obtenir 200 guildatons ou plus en compagnie du même membre de la guilde,15
,,
Chamailleries,Obtenir tous les succès plus (ou moins...) liés au PvP,20
Compétition amicale,"Gagner un combat de Kolizéum, de Percepteur ou d'AvA contre un membre de la guilde",10
Tu l'as bien mérité,"Achever un membre de la guilde dans l'équipe adverse lors d'un combat de Kolizéum, de Percepteur ou d'AvA",10
Long live the King,Tuer un membre du Conseil lors d'une mission de guilde sans l'aide d'autres membres,10
Humiliation,Achever un membre de la guilde avec le sort Libération pendant une mission de guilde,10
Mutinerie,S'associer pour tuer plusieurs membres du Conseil en un seul combat,20
Pardon j'ai cru que c'était un bot,Tuer un membre de la guilde alors qu'il a un stuff tank équipé (Cire Momore ou 47+% dans au moins 4 éléments),5
,,
L'important c'est de participer,Obtenir tous les succès de participation aux activités,20
C'est la fête,Participer à un évènement,5
Jure c'est pas des bots ?,Effectuer une mission de guilde à 8,5
De très bons amis,Effectuer 5 missions de guilde à 8,25
Généreux,Participer bénévolement au cash-prize participatif d'un évènement,15
Ça existe ce truc ?,Participer à une mission de guilde avec un Ouginak,5
Un engrais de qualité,Participer à une mission de guilde avec 4 membres de SCTV ou 4 ex Moons Light ou 6 en combinaison,5
Le grand remplacement,Participer à une mission de guilde avec au moins 4 Clônes et/ou Jumeaux Maléfiques,10
,,
Membre exemplaire,Prouver que vous êtes un modèle au sein de la guilde,20
Membre productif,Payer 50 000 kamas d'impôts en une semaine,1
Heures supp',Terminer les 12 missions de guilde de la semaine,10
Membre actif,Obtenir le rang Assemblée,5
Recruteur,Recruter un joueur dans la guilde sans qu'il parte dans les 7 premiers jours,15
Ça enchaîne !,Faire 3 missions de guilde d'affilée,10
PGM,Remporter un évènement,15
,,
Complètement dérangés,Obtenir tous les succès un peu chelous,20
